"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"통계분류(1)",통계분류(2),사례수,식도락 관광,쇼핑,자연경관 감상,고궁/역사유적 방문,업무수행,유흥/오락,전통문화체험,박물관 전시관 방문,연수 교육 연구,시찰(산업시설등),기타,없다,계,뷰티관광,시티투어 버스 이용,공연 민속행사 축제참가 및 관람,직업적 스포츠활동,온천 스파,카지노,미팅 회의 학술대회 박람회 등 참가,휴양 휴식,테마파크,스포츠활동,의료관광,레포츠활동,드라마 촬영지 방문,사례수,식도락 관광,쇼핑,자연경관 감상,고궁/역사유적 방문,업무수행,유흥/오락,전통문화체험,박물관 전시관 방문,연수 교육 연구,시찰(산업시설등),기타,없다,계,뷰티관광,시티투어 버스 이용,공연 민속행사 축제참가 및 관람,직업적 스포츠활동,온천 스파,카지노,미팅 회의 학술대회 박람회 등 참가,휴양 휴식,테마파크,스포츠활동,의료관광,레포츠활동,드라마 촬영지 방문,사례수,식도락 관광,쇼핑,자연경관 감상,고궁/역사유적 방문,업무수행,유흥/오락,전통문화체험,박물관 전시관 방문,연수 교육 연구,시찰(산업시설등),기타,없다,계,뷰티관광,시티투어 버스 이용,공연 민속행사 축제참가 및 관람,직업적 스포츠활동,온천 스파,카지노,미팅 회의 학술대회 박람회 등 참가,휴양 휴식,테마파크,스포츠활동,의료관광,레포츠활동,드라마 촬영지 방문,사례수,식도락 관광,쇼핑,자연경관 감상,고궁/역사유적 방문,업무수행,유흥/오락,전통문화체험,박물관 전시관 방문,연수 교육 연구,시찰(산업시설등),기타,없다,계,뷰티관광,시티투어 버스 이용,공연 민속행사 축제참가 및 관람,직업적 스포츠활동,온천 스파,카지노,미팅 회의 학술대회 박람회 등 참가,휴양 휴식,테마파크,스포츠활동,의료관광,레포츠활동,드라마 촬영지 방문,식도락 관광,쇼핑,자연경관 감상,고궁/역사유적 방문,업무수행,유흥/오락,전통문화체험,박물관 전시관 방문,연수 교육 연구,시찰(산업시설등),기타,없다,계,뷰티관광,시티투어 버스 이용,공연 민속행사 축제참가 및 관람,휴양 휴식,테마파크,스포츠활동,의료관광,레포츠활동,드라마 촬영지 방문,식도락 관광,쇼핑,자연경관 감상,고궁/역사유적 방문,업무수행,K-POP/한류스타 관련 촬영지 방문,유흥/오락,전통문화체험,뷰티/의료관광,박물관 전시관 방문,스포츠/레저 관람 및 참가,연수 교육 연구,시찰(산업시설등),기타,없다,계
"전체",소계,12024,10.2,34.4,12.4,7.5,7.4,2.9,1.6,1.5,1.7,0.3,1.2,0.1,100,1,1.3,3.3,0.3,1.9,0.9,2.3,1.8,3.3,1.3,0.5,0.9,0,12882,13.8,28,13.2,7.7,6.1,3.4,2.1,2.1,1.6,0.5,1.3,0,100,1,1.9,4.1,0.2,1.4,0.8,2.7,1.8,3.2,1.4,0.6,1.2,0,12003,16.5,30.5,11.6,7.9,4.9,3.4,2.1,2.6,1.4,0.4,1.1,0,100,0.7,1.2,3.9,0.2,1.4,0.7,2,1.7,3.2,1.1,0.4,1,0,13841,19.6,28.2,10.1,8.3,6,3.9,2.1,1.7,2,0.6,1.1,0,100,0.8,0.8,3.5,0.3,1.3,0.7,1.5,1.6,2.5,1.7,0.7,0.9,0,29.3,22.2,11.8,7.5,9.8,1.7,2.5,1.5,1.3,0.2,0.9,0,100,0.8,0.8,3.6,0.9,1.9,1.3,0.7,0.5,0.7,30.7,21.7,14.1,8,7.3,5.1,3.4,2.9,1.7,1.7,1.4,1,0.4,0.5,0,100
"월별",1월,717,8.8,35.7,8,7.9,8.5,2.4,1.2,2.4,1.8,0.2,1.5,0.6,100,1.2,1.6,4,0,1.5,0.2,1.9,2.2,1.8,5.2,0.7,0.7,0,922,10.1,28,17.8,6.3,9.8,2.4,1.4,1.3,1.2,0.4,1,0,100,0.5,1.3,3.2,0,2.2,0.8,2.3,2.4,3.1,3.5,0.4,0.7,0,758,14.6,34.9,7.9,6.5,7.6,3.6,1.4,2.1,1.2,0.3,0.9,0,100,1,0.9,2.2,0,1.2,0.9,1.9,1.5,3.1,5.1,0.5,0.5,0,1259,16.9,33.8,8.6,5.7,4.3,2.3,1.8,2.1,2.6,0,0.7,0,100,0.6,0.7,4.5,0.2,1.5,0.6,1.6,1.7,2.7,6.2,0.1,0.7,0,31,22.9,6.5,4.3,14.3,1.8,2.3,0.7,2.6,0.7,0.3,0,100,0.8,0.7,3.7,1.2,1,3.6,0.6,0.2,0.9,28.8,19.4,12.1,7.5,8.7,9.6,2.7,2.8,1.4,1.3,3.6,1.1,0.5,0.4,0,100
"월별",2월,771,9.8,38.3,8.7,7.1,10.2,1.9,1.5,2.9,1.5,0,1.4,0,100,1.1,1.4,2.2,0,1.6,0.1,2,2.2,2.2,2.7,0.3,0.8,0,1061,10,31.9,11.8,8,6.3,2.7,1.2,1.3,1.6,0.1,1,0,100,1.7,0.8,3.5,0.1,2.2,0.3,1.3,2.4,4.7,5.7,0.4,0.9,0,797,16.6,31.2,7.1,6.4,5.7,4,3,2.1,1.4,0.4,1.3,0,100,0.9,1,3.9,0.1,2.4,1.3,2,2,2.7,3.2,0.2,1.2,0,1300,24,32.9,7.5,5.5,5.2,3.4,1.9,0.9,2.5,0.2,1.1,0,100,0.2,0.4,4.5,0.2,0.9,1,1.9,1.4,0.8,2.5,0.6,0.5,0,31.5,19.6,9.2,4.7,7.9,1.6,2,1.8,0.9,0.1,6.3,0,100,0.8,0.9,2.1,1,1.5,6.6,0.6,0.4,0.6,38.1,23.9,8.7,6.8,8.8,2.5,1.7,2.5,2.3,1.2,1.8,0.9,0.4,0.5,0,100
"월별",3월,968,9.7,34.8,12.7,10.1,9.1,2.1,1,0.8,1.4,0.3,1,0.1,100,0.6,0.9,5.9,0.2,0.7,0.5,3,1.3,2.3,0.4,0.3,0.7,0,1238,15.3,29.5,16.9,6.9,6.5,2.8,1.8,1.2,0.9,0.4,0.8,0,100,1.3,2.2,3.7,0.2,1.3,0.5,2.2,1.1,2.8,0.4,0.6,0.9,0,978,17,29.4,9,8,7.2,3.6,2.1,2.5,0.8,0.4,1.1,0,100,1,1,4.4,0.3,1.9,0.8,2.4,1.3,3.7,0.6,0.6,0.7,0,1276,20.8,32.6,10.3,6.3,5.4,3,2,1.9,1.4,0.8,1,0,100,0.9,0.4,2.5,0.6,1.9,0.7,1.8,1.2,2.1,0.9,0.9,0.6,0,27.9,24.6,11.4,6.9,10.2,1.4,3,1.5,1.1,0.5,0.4,0,100,1.1,0.9,2.9,0.9,2.9,0.4,0.8,0.6,0.5,37.9,22,11.4,7.6,7.5,3.8,2.8,2.3,1.1,1.6,0.5,0.8,0.3,0.5,0,100
"월별",4월,1060,9.3,36.9,12.7,9.9,5.8,2.2,1,1.3,1.3,0.2,1.4,0,100,1.5,1.5,2.8,0.8,1.5,1,2.6,2.1,1.9,0.7,0.3,1.5,0,1363,12.2,27.9,14.7,9.1,6.3,3,1.3,2.6,0.9,0.4,1,0,100,1.4,2.4,4.4,0.1,1.9,0.4,3.1,1.7,3.2,0.5,0.5,1,0,1032,17,30.2,11.5,7,4.3,4.7,1.8,3.3,0.7,0.5,1.5,0,100,0.8,1.3,2.9,0.3,1.4,0.8,1.5,3.2,3.9,0.3,0.4,0.6,0,1113,17.8,26.7,11.9,9.1,8.1,3,1.8,2.3,1.4,2,1.3,0,100,1.1,1.1,1.4,0.1,1.4,0.7,2,1.2,3,0.8,1,0.9,0,27.1,21.3,14.1,6.8,14,1.1,3,1.9,1.4,0.2,0.8,0,100,0.7,1,1.9,0.6,1.5,0.4,1,0.8,0.4,25.6,23.9,16.5,9.3,7.9,4.5,3,3.2,1.7,2.1,0.8,0.5,0.6,0.3,0,100
"월별",5월,1042,12.9,32.2,13.6,7,10.3,3.6,1,2.2,1.3,0.4,1.1,0.1,100,0.4,1.2,3.1,0.2,1.6,0.1,1.8,1.8,2.3,0.6,0.5,0.5,0,1314,16.3,27.8,11.9,9.3,4.9,3.7,2.3,1.1,2,0.6,1.3,0,100,0.7,2.3,4.8,0.2,1.5,0.5,2.2,1.7,3.4,0.2,0.6,0.7,0,1030,20.1,30.7,9,8.7,6.4,3.2,1.6,2,1.7,0.6,1.4,0,100,0.2,1.3,2.5,0.1,1,0.4,3,0.6,3.9,0.2,0.5,0.7,0,1000,18.4,26.7,12.6,8.9,6,4.3,2,1,1.6,0.2,2,0,100,1.4,0.7,3.7,0.4,1.2,0.5,1.5,0.9,3.2,0.6,0.7,1.5,0,30.4,21.4,13.6,8.6,9.6,1.8,2.9,0.9,0.8,0.1,0.5,0,100,0.5,0.6,3.4,0.6,1.7,0.7,0.7,0.6,0.6,29.1,20.9,14.7,8.5,7.6,4.6,3.5,2.6,2.3,2,1.2,1.1,0.7,1.1,0,100
"월별",6월,1022,10,39.6,12.9,7.5,4.9,2.3,2,2,2.1,0.6,0.7,0,100,0.6,1.6,1.8,0.5,1.3,0.4,2.7,1.5,2.9,0.6,0.4,1.2,0,676,16.2,23.7,13.3,7.2,6.9,2.6,2.6,2.4,3.9,1.1,2,0.1,100,1,2.5,3.1,0.4,1,0.8,2.5,1.5,2,0.6,0.8,1.7,0,1080,14.9,30,15.8,8,5.6,3.3,1.3,3.3,2,0.5,0.5,0,100,0.4,1.2,3.4,0.1,1,0.1,1.8,1.5,2.5,0.5,0.5,1.8,0,1025,18.6,25.7,11.4,10.1,5,4.8,2.7,3,2.1,0.4,1,0,100,0.6,0.9,2.9,0.2,0.6,0.5,2.3,2,2.8,0.5,1,0.9,0,27.9,22.6,14.7,9.4,7.8,1.8,2.6,0.9,1.1,0.1,0.6,0.1,100,0.6,0.7,3.3,1,2,0.6,0.7,0.4,0.8,29.5,23,13.1,10.3,6.5,5.8,3.3,2.8,1.9,1.6,0.4,1,0.4,0.3,0,100
"월별",7월,1124,11.3,32.3,11.8,4.4,6.4,3.7,1.4,1.5,2.6,0.2,1.2,0,100,0.5,0.7,5.3,0,1.7,3.4,1,2.3,6.7,0.4,0.3,0.9,0,584,11.5,23.2,10.8,7.1,8,5.5,3.1,3.6,2.2,1,1.8,0,100,0.7,3.1,2.8,0.2,0.7,0.5,2.4,1.9,4.2,1.4,1.1,3,0,1183,18.9,32.5,12.4,7.7,2.8,3.2,2.4,2.6,1.5,0,0.3,0,100,0.6,1.1,3.5,0.1,0.9,0.7,1.9,1.9,3.7,0.4,0.2,0.8,0,1039,17.8,25.8,9.5,8,7.3,4.7,2.4,2.2,2.1,1.1,1.1,0,100,1.3,0.6,3.1,0.6,1.4,1,1,2.1,3.4,1.3,0.5,1.6,0,29.7,20.6,12.7,8.8,7.3,2.2,2.4,3,1.2,0,0.7,0,100,0.6,1.1,3.9,1,2.5,0.4,0.7,0.5,0.6,26.6,22.2,16.6,7.3,6.5,5.2,4.9,2.7,1.6,3,1.5,1.3,0.4,0.3,0,100
"월별",8월,1213,13.1,31.3,17.7,5.3,5,4.9,1.1,0.9,1,0.2,0.3,0,100,1.1,1.4,2.2,0.2,3.1,0.7,3.1,1,5.5,0.4,0.2,0.2,0,1001,12.9,23.1,12.6,6.4,5.1,3.6,3.1,4.2,2.1,0.3,1.8,0,100,0.2,2.6,5.8,0.4,0.9,1.7,3.9,2.4,3.7,0.5,0.8,1.9,0,1154,15.2,23.9,11.8,9.2,3.5,3.7,3,3.4,2.3,0.4,1.7,0,100,1.1,1.2,7.2,0.1,1.5,1,2,1.8,4.7,0.2,0.2,0.9,0,1147,20.4,26.9,10.3,7.6,6.1,5.3,2.4,1.7,1.9,0.2,0.8,0,100,1,0.5,3.5,0.5,1,0.7,1.8,2,3.2,0.5,1.2,0.6,0,31,21,9.1,8.2,9.5,1.7,1.9,1.2,1,0.1,0.8,0,100,0.5,0.5,8,0.4,2.3,1.2,0.5,0.6,0.5,33.3,22.6,11.6,6.8,6.8,3.2,4.5,3.7,1.6,1.6,1.4,1.8,0.2,0.9,0,100
"월별",9월,1051,9.3,37,9.2,7.5,7.8,2.4,2.6,1.6,1.1,0,1.6,0,100,1,1.3,3.7,0.4,1.8,0.7,2.9,1.6,4.3,0.3,0.8,1.3,0,1153,14.9,28.8,10.2,8.5,5.5,4.1,2,2.7,1.2,0.5,1.6,0,100,1.4,1.7,4.2,0.5,1.2,1.2,3.7,1.6,2.5,0.2,0.8,1.1,0,1046,18.2,30.5,16,7.3,4,2.8,1.7,2.6,0.2,0.2,1.6,0,100,0.5,0.7,3.5,0,0.7,0.5,2.1,2.2,2.2,0.3,0.6,1.3,0,1122,20.4,26.3,9.5,8.6,9.1,3.9,1.8,1.6,2.9,0.5,0.5,0,100,0.6,1.2,3,0.1,1,0.6,1.5,2.7,2.1,0.5,0.7,0.7,0,31.3,23.1,11.4,8,9.5,1.4,2.5,2,1.2,0.3,0.4,0,100,0.8,0.7,3.2,0.6,1.2,0.6,0.3,0.5,1,30.3,20.4,16.6,9.2,7.1,4.8,3.7,2.9,1.8,1.1,0.7,0.9,0.2,0.2,0,100
"월별",10월,1133,8.8,34.6,13.1,9.4,9,1.9,1.9,0.8,2.3,0.7,1,0,100,1.5,1.1,1.9,0.3,2,0.7,2.1,1.6,2.6,1,0.5,1.3,0,1333,15.9,27.1,13.7,7.4,5.1,2.8,2.8,2.8,1.1,0.5,0.9,0,100,0.7,1.3,4.5,0.1,0.9,1,3.9,1.7,4,0.2,0.4,1.1,0,1103,15.3,31.7,11.9,10.6,4.3,2.2,2.4,2.3,0.5,0.2,0.8,0,100,0.9,1,3.6,0.4,2,0.8,2,1.4,2.7,0.6,0.5,1.8,0,1221,20.5,23.8,13.4,12.2,6.5,3.9,1.7,1.1,0.6,0.5,1.5,0,100,0.5,0.6,3.2,0.2,1.3,0.3,1.5,1.3,2.5,0.7,0.8,1.4,0,29.5,21.4,13.4,8,11.4,1.8,2.2,1.1,1.9,0.3,0.5,0,100,0.5,0.9,2.9,1,1.3,0.4,0.3,0.8,0.6,27.4,19.3,17.7,8.4,5.9,9.8,2.4,3.4,1.7,1.8,0.8,0.8,0.2,0.5,0,100
"월별",11월,972,8.6,29,14.4,8.7,9.7,2.7,2.1,1.3,1.6,0.5,1.3,0,100,1.2,1.5,3.4,0.4,1.8,0.7,3.3,2.3,2.7,0.9,1.5,0.5,0,1128,14.4,31.6,14.1,7.7,6.9,3.9,1.3,1.4,1.3,0.6,1.7,0,100,1.1,1.4,3.1,0,0.6,1.1,3.1,1.2,1.5,0.4,0.5,1,0,906,16.2,31.5,12.6,7.7,5.7,2.5,1.4,2.4,1.7,0.5,0.7,0,100,1.1,1.9,3.8,0.9,1.1,1.3,1.7,1.8,2.2,0.7,0.1,0.3,0,1146,20,28.6,8.9,9.6,6.8,3.7,2.8,1.1,2.1,0.6,1,0,100,0.9,1.2,4.2,0,1.7,0.7,1.4,1.5,1.7,0.4,0.4,0.8,0,28.3,24.5,11.8,8.3,8.4,1.9,2.6,1.3,1.4,0.3,0.1,0,100,0.6,1.1,3.4,1.3,1.9,0.5,1.2,0.1,1,28.2,24.1,15.8,7.3,8.5,4.4,3.4,2.8,2,1.1,0.6,1.5,0.1,0.3,0,100
"월별",12월,951,10.2,32.2,10.6,5.8,2.9,3.8,2.7,1.5,2.9,0.2,1.7,0,100,1.2,2.1,3.5,0.2,3.9,1.5,1.2,2.5,3.4,4.1,0.8,1.3,0,1109,13.9,29.4,9.3,6.7,3.7,3.7,2.3,1.7,2.4,0.5,1.9,0,100,0.8,1.3,4.8,0.2,2.7,0.6,1.4,2.8,3.2,4.6,0.5,1.6,0,937,13.5,31.1,11.7,6.2,3.5,4.7,2.4,2.4,3.1,0.5,0.7,0,100,0.6,1,5.3,0.2,2.6,0.6,1.1,1.6,2.4,3.4,0.1,1.1,0,1195,19,27.1,8.1,8.8,3.2,4.7,2.3,2.1,3,0.3,1.2,0,100,0.5,1.3,5.6,0.3,1.5,0.7,0.3,1.5,2.8,4.2,0.9,1,0,27.1,23.5,11.7,7.2,8.1,2.1,2.9,1.3,1.7,0.3,0.2,0,100,1.6,1,4.1,0.9,2.6,2.2,0.6,0.3,0.7,34.8,18.2,12.7,6.9,6.7,3.6,5,2.9,1.3,2,4,1,0.8,0.3,0,100
"거주국",일본,2180,19.2,16.7,7.8,9.8,8.6,2.1,1,0.7,3,0.8,3.6,0,100,3.1,1.3,7.7,0.4,2.6,1,5,3.1,1,0.8,0.3,0.5,0,2007,20,13.9,5.3,8.8,11.7,2,1.5,0.7,2.7,0.8,4.2,0,100,2.8,1.2,9.8,0.2,1.1,1.1,7.7,3.1,0.5,0.4,0.3,0.3,0,1763,15.9,20.6,8.8,7.3,9.4,1.6,1.3,1.3,1.2,0.6,3.2,0,100,2.7,0.9,10.4,0.1,2.7,1.3,6.2,2.9,1,0.5,0.2,0.1,0,2615,26.9,22.4,6,6,8.5,2.9,0.7,1,2.3,0.4,2.7,0,100,2,0.8,6.9,0.1,2,2,2.9,0.6,1.6,0.4,0.8,0.2,0,44.2,13.5,5.5,3.7,14.6,2.8,1.3,0.9,1,0.1,1.6,0,100,1.7,1,4.9,0.4,0.5,0.5,0.4,0.3,1.1,45.2,15.4,4.6,3.2,11.1,7.1,4.4,1.2,4.1,1,0.9,0.4,0.6,0.8,0,100
"거주국",중국,5379,10.1,46.4,17.9,3.9,1.6,3.1,0.5,1.1,0.9,0.1,0.2,0.1,100,0.7,0.4,2.5,0,2,1.4,0.7,1.4,3.9,0.4,0.5,0.4,0,6092,15.6,37,18,4.5,1.1,3.6,1.3,1.7,0.7,0.1,0.3,0,100,0.8,1.3,2.9,0,1.6,1.2,1,1.2,4.1,0.8,0.4,0.6,0,6020,20.9,38.5,14.1,4.1,0.8,3.8,1.3,2.4,1,0.2,0.3,0,100,0.6,0.4,2.6,0,1.3,0.9,0.3,1.1,3.5,0.5,0.4,0.8,0,4585,25.9,40.1,10.5,2.3,2.3,4.1,0.8,0.7,1.9,0.1,0.6,0,100,0.7,0.3,2.8,0,0.7,0.7,0.5,1.5,1.6,1.1,0.3,0.7,0,39.1,31.1,11.5,3.1,3.6,1,0.7,0.9,1.3,0.1,0.4,0,100,0.5,0.3,3,0.5,1.4,0.6,0.5,0.3,0.2,38.1,26.8,16.3,5,1.6,4.7,2.3,1.6,0.9,1,0.6,0.8,0.1,0.2,0,100
"거주국",홍콩,536,12.8,47.3,5.4,5.3,5.6,1.5,0.9,2.1,0.6,0.2,0.5,0,100,0.5,1.6,1.1,0,1.8,0.2,0.9,1.5,5.3,3.7,0.3,1.1,0,574,19.2,36.1,9.8,4.2,4.1,1.4,1.7,3.2,0.5,0.3,0.2,0.1,100,1,2.5,2.4,0,2.3,0.2,0.5,1.5,2.9,4.8,0.4,0.9,0,499,21.7,39.5,9.5,4,1.6,2.4,0.8,3.7,0.5,0.1,0.5,0,100,0,2.3,3,0.1,0.9,0.1,0.1,1.5,3.8,3.3,0,0.6,0,743,23.6,33.9,11.7,4.6,3.8,1.9,1.7,2,0.1,0.1,0.4,0,100,0.7,0.2,2.8,0.1,2,0,0.8,2.1,2.7,4.2,0.1,0.5,0,29.1,25.4,14.5,5.6,5.1,1.1,3.3,1.3,0.5,0,0.3,0.2,100,1,0.7,3.5,1.2,3.3,3,0.1,0.5,0.5,31.2,25.7,14.5,5.8,6.1,6.3,2.8,3,0.8,0.6,2.6,0.2,0.1,0.3,0,100
"거주국",싱가포르,181,3,42,12,8.5,9,0.6,0.6,2.5,0.2,0.2,0.3,0,100,0.3,1.1,1.3,0,0.9,0.3,1.7,2.1,4.6,7.2,0.2,1.3,0,164,7.6,29.2,11.5,7.4,11.7,2.8,2.5,0.7,1.7,1.2,0.9,0,100,0.1,1.8,1.4,1,0.7,0,3,2.1,3.2,6.1,0.3,3.1,0,158,6.6,37,11.2,7.8,8,2.5,1.4,2.6,0.5,0.3,1.1,0,100,0.1,1,1.4,0.3,1.5,0,2.1,1.4,5.7,4,0,3.7,0,228,8.6,34.4,13,10.2,6.3,3.1,2.9,2.7,0.2,0,0.7,0,100,0.1,0.3,0.8,0.7,1.2,0,1.7,1.7,5.8,4.5,0.3,0.9,0,11.1,32.4,16.3,7.9,10.6,1.2,5.1,1,0.6,0,0.2,0,100,0.6,0.7,3.5,0.5,3.8,2.3,0.1,1.1,0.9,10.4,30.5,15.2,8.9,10.3,4.2,7.2,4.1,0.9,4,3.3,0.4,0.4,0.4,0,100
"거주국",대만,619,15.8,42.6,8.2,6.5,1.1,2.1,1.6,1.3,1,0.2,0.3,0,100,0.7,4.2,2.2,0.1,2.3,0.1,1,0.5,4.6,3.2,0.1,0.3,0,568,19.5,31.9,8.4,8.1,1.9,1.2,1.8,1.8,0.9,0.3,0.5,0,100,0.5,6.2,4.9,0,1.3,0.2,1.2,0.6,3.9,4,0.2,0.8,0,639,20.8,27,7.5,11.7,1,2.2,1.6,3.9,0.3,0.1,0.2,0,100,0.3,5.5,5.9,0,1.3,0.7,0.6,1,4,4.2,0,0.3,0,1049,22.6,28.7,12.6,8.9,1.7,3,2.6,0.8,1.1,0.4,0.5,0,100,0.3,0.9,5,0.1,1.4,0.4,0.4,1.9,3,3.1,0.5,0,0,27.6,21.6,14.2,6.9,3,0.7,5.4,1.5,0.4,0.2,0.2,0,100,0.4,1.1,5.6,1.4,3.9,3,0.4,0.6,1.9,32.5,22.8,13.7,7.1,3,6.7,2.9,6.3,0.3,1,2.9,0.3,0.4,0.1,0,100
"거주국",태국,399,4.5,53.6,9,9.1,0.9,1.2,2.7,2,0.4,0,0.2,0.3,100,0.5,1.3,1.4,0.1,1.1,0.6,1,4.5,3.8,1.7,0.1,0,0,359,9.5,41.1,12.1,9.7,2.7,3,1.8,1.1,0.5,0.4,0.6,0,100,0.8,1.8,2.9,0.1,0.7,0.1,0.7,4.2,3.5,1.6,0.4,0.7,0,324,9.3,44.8,12.1,7.7,1.9,3,2.3,1.9,0.8,0.3,0.4,0,100,0.7,1.2,2.6,0.1,0.6,0.1,1,3.5,2.7,2.2,0.1,0.6,0,510,12.9,42.4,10.9,8.6,0.9,3.4,0.3,1.2,1.3,0.2,0.4,0,100,0.5,1.3,2.7,0.1,0.7,0.2,0,1.7,6.3,1.7,1.2,1.4,0,5.3,44,16.1,9.1,2.7,2.1,2.6,1.1,0.8,0.9,0.3,0,100,0.8,0.7,4.1,1.3,3.6,1.8,1,0.3,1.2,8.4,30.1,20.8,8.4,5.3,4.6,5.7,6.4,1.1,1.8,2.1,3.5,1.5,0.1,0,100
"거주국",말레이시아,221,2.1,33.4,15.9,9.4,4.9,2,3.1,2,1.4,0,0.2,0,100,0.1,1.3,3,0,0.1,0,1.4,4.1,8.5,5.6,0,1.5,0,230,4.4,28.3,18.3,12,2.1,2.3,4.4,2.9,1.7,0.1,0.1,0,100,0.2,2.8,3.1,0.7,1.8,0.4,1.3,2.5,5.6,4.1,0,1,0,223,1.8,28.5,20.4,10,0.6,2,3.5,5.8,0.8,0.3,0.3,0,100,0,3.4,4.6,0.4,0.2,0,0.1,2,9.6,4.5,0,1.3,0,328,6.5,26.5,20.1,10.6,2.3,2.9,2.6,1.6,1.1,0.2,0,0,100,0.9,1.8,1.9,0,0.8,0.4,0.8,1.4,8.7,7.3,0.7,1.1,0,12.9,21.8,24.8,10.2,3.7,1.3,4.8,2,2.1,0.4,0,0,100,0.8,1.7,3.4,1.2,5.1,2.5,0.3,0.3,0.8,13.7,23.3,27.3,13.5,4.5,3.8,3.3,4.8,0.8,1.6,2.7,0.3,0.3,0.1,0,100
