"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"방한목적",친구/친지방문,785,11.3,25,8.1,10.7,0.1,4.8,4.3,2.5,1.4,0.1,11.8,0,100,0.7,2.6,3.2,0.3,3,0.8,0.6,2.7,3.1,0.6,0,2.4,0,1177,17.6,21.3,7.5,10.1,0.3,6,2.8,3.1,0.5,0.2,12,0.1,100,0.4,2.1,2.8,0.5,1.1,0.7,0,2.8,3.6,1,0.3,3.3,0,888,18.5,19.3,8.1,13.2,0,6.4,3,2.1,0.4,0,9.9,0,100,0.1,2,2.8,0.2,2.2,0.8,0.3,3,4.2,1,0.2,2.4,0,1388,18.9,19.3,12.3,10.9,0.3,6.4,3.8,2.6,0.8,0.5,7.6,0,100,0.8,1.3,1.6,0.4,2.2,0.9,0.1,3.3,3,0.5,0.3,2.2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.5,20.3,22.3,10.2,0.2,1.3,5.6,2.1,1.7,1.3,1.5,0.2,0,2.9,0,100
"방한목적",사업/전문 활동,2387,5.1,15.9,4.8,7.8,36.8,2.3,1.5,2,2.6,1.6,0.3,0.1,100,0.1,1.2,1.1,1,0.9,0.4,10.2,0.5,0.8,1.6,0.2,1.2,0,2413,10.2,15.1,5.5,5.8,31.7,2.4,1.9,1.6,2.1,2.2,0.1,0,100,0.5,1.1,1,0.4,1,0.5,12.8,0.5,0.8,1.2,0.1,1.5,0,1797,9.6,15.7,5.5,6.3,32.7,2.5,1.5,2,2,2.1,0.5,0,100,0.1,0.5,0.8,0.8,0.6,0.5,11.9,1.1,0.8,1.1,0.1,1.3,0,2631,15.5,15,5.6,7.3,31.2,2.8,1.8,1.5,2.5,2.3,0.2,0,100,0.3,0.5,1.1,0.7,0.8,0.4,7.3,0.7,0.7,1.1,0.2,0.8,0,12.8,11.7,5.3,5.3,52.9,1.5,1,1.4,2.2,1.1,0.4,0,100,0.2,0.6,0.9,0.5,0.4,1.2,0.2,0.2,0.2,19.1,15.9,6.9,6.9,40.2,0.7,1.7,1.5,0.3,1.3,1.3,2,2,0.1,0,100
"방한목적",교육,429,5.2,25.1,3.1,8.4,0.2,6.5,5.5,2.5,26.5,0,0.8,0,100,0,0.4,4.8,0.2,1.3,0.7,3.2,0.1,2.9,0.9,0.1,1.6,0,470,7.5,17.1,5.5,7.1,0,6.5,6.5,3.6,26.9,0.4,0.5,0,100,0.1,1,3.8,0.1,2.4,0,2.6,0.5,4.1,2.6,0,1.4,0,480,11,21.4,4.8,6.3,0,6.8,5.6,1.9,24.4,0,0.1,0,100,0.1,0.4,3.9,0.1,0.7,1,0.4,0.6,4.2,2.2,0.1,4,0,799,12.1,20.8,9.3,7.6,0,6.8,5.4,2.2,22.9,0.2,0.6,0,100,0.1,0,2.8,0.2,0.5,0.2,1.1,0.9,3.1,1.3,0,1.9,0,15.4,17.9,7.5,9.8,3.3,0.7,5.4,1.7,21.7,0.4,0,0,100,1.2,0.3,8.7,0.4,2.2,2,0,1.1,0.3,16.9,15.4,11,10.8,3.3,3.2,4.4,6.6,1.1,1.4,2.1,23.1,0.7,0,0,100
"방한목적",종교 순례,111,5.4,45.5,10.2,7.6,1.9,0,5.4,0,9.8,0,5.7,0,100,0,0.2,0.2,0,0,2.9,2.2,0.7,0.3,0,0.4,1.6,0,89,6.7,21.5,12.5,2.8,2,1.4,4.5,2,20.1,0,3.6,0,100,0,4.2,4.9,0,0.3,0,7.3,1.4,0.6,0,0.8,3.6,0,51,5.2,8.1,13.1,16.7,3.3,0,5.9,0,8,0,14.3,0,100,0,0,3.5,0,2.1,0,12.3,1.2,4.1,0,0,2.1,0,64,12.2,7.4,12.1,14.2,0,3.2,3.5,0.6,15,0,16.4,0,100,0,1.8,0,1.2,0,0,3.2,6.2,1.7,0,1.2,0,0,11.8,6.7,13.9,5.6,2.8,1.8,1.9,3.3,28.3,0,17.9,0,100,0,0,4.1,0,0,1.9,0,0,0,16.9,10.5,11.7,10.2,6.8,0,6.1,4.8,0,3.9,0,2.9,0,26.2,0,100
"방한목적",기타,6,17.1,15.3,4,0,3.3,27.5,0,8.7,0,0,16.3,0,100,0,0,4,0,0,0,0,0,3.8,0,0,0,0,5,10.5,0,0,0,0,0,0,13.6,0,0,75.9,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,23.3,0,0,3,0,0,0,17.9,0,100,0,1.8,13.5,0,0,0,0,0,35,0,0,2.5,0,39,2.8,4.6,8.3,17,0,3.6,0,0,1.4,1.7,10.5,0,100,0,0,34,6.2,0,0,1.1,1.5,0,7.2,0,0,0,5.4,5.3,3.9,11.6,8.2,1.4,1.7,6.9,0,0,28.5,0,100,0,0,0,1,0,26.1,0,0,0,8,14.6,19.5,9.8,2.5,2.8,0.7,1.2,35.9,1.1,0,0,0,3.2,0.5,100
"방한목적",뷰티/건강/치료,122,6.2,21.6,0.5,4.6,0,3.8,0,0.3,0.9,0.3,0,0,100,14.9,0.9,0,0,4,0,0,1.2,2.2,0.2,38.4,0,0,140,5.4,23.8,2.3,0.4,0,0.5,0,0,0.3,0,0,0,100,17,0.8,1.1,0.6,4.1,0,0,1.1,0.9,0.2,39.4,2.2,0,75,2.1,36.1,1.9,1.4,0.7,0,1.4,0,1.5,0.4,2.2,0,100,4.7,0.3,1.8,0,0,0,0,1.1,3,0.4,40.3,0.6,0,171,11.2,28.7,4.2,1.1,0.7,2.4,0,0,0,0.4,0,0,100,8.5,0,0,0,1.4,0,0.3,0.9,1.1,0.4,38.4,0.3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"방한목적",쇼핑,1201,10.8,69.3,3,3.1,0.1,0.6,0.2,0.4,0,0,0.2,0,100,1.7,0.6,3,0,2.2,0.7,0.2,1,2.5,0.3,0.4,0,0,1294,15.9,63.2,4.6,3.2,0.1,1.7,0.7,0.7,0,0.1,0,0,100,1.5,1.3,1.5,0,1.3,0.4,0.1,0.3,1.9,0.7,0.4,0.3,0,1521,16,68.4,2.9,2.1,0,2.4,0.9,0.2,0.1,0.2,0,0,100,0.9,0.6,0.7,0,1.4,0.4,0,0.1,1.4,0.5,0.4,0.3,0,1566,19.4,67,1.6,1.4,0.1,1.4,0.5,0.3,0,0.1,0.1,0,100,1.1,0.4,1.6,0,1.4,0.3,0.1,0.4,1.6,0.6,0.6,0.1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"여행형태",개별여행,8285,9.8,32.1,9.2,7.5,10.5,3.5,1.8,1.6,2.2,0.5,1.5,0.1,100,1.1,1.5,3.4,0.4,2,0.5,3.1,2,2.6,1.1,0.8,1.2,0,8749,13.9,26,9.4,7.7,8.7,3.9,2.2,2.3,2.1,0.7,1.9,0,100,1,2,4.1,0.3,1.6,0.7,3.8,1.7,2.5,1.2,0.8,1.6,0,8084,16.1,27.8,9.6,8.4,7.1,3.4,2.3,2.7,1.9,0.5,1.4,0,100,0.6,1.3,4.1,0.3,1.2,0.7,2.7,1.8,3,1.1,0.6,1.3,0,11462,19.2,27.8,9.5,8.3,7.2,4.2,2.1,1.8,2.3,0.6,1.2,0,100,0.6,0.8,3.6,0.3,1.2,0.7,1.7,1.8,2,1.2,0.8,1.1,0,28.4,22.3,11.1,7.3,11.9,1.7,2.5,1.4,1.5,0.3,0.9,0,100,0.7,0.9,3.6,0.9,1.7,1.1,0.8,0.6,0.6,30.1,22,13.6,7.8,8.9,5.1,3.3,2.3,1.8,1.7,1.2,1.2,0.4,0.6,0,100
"여행형태",단체여행,2998,8.4,40.1,22.3,6.3,0.4,1.5,1.3,1.5,0.7,0,0.1,0,100,0.5,0.8,2.1,0.1,1.8,2.1,0.6,1.5,5.9,1.7,0,0.2,0,3375,9.9,32.5,24.8,7.2,0.3,2.4,2.1,2,0.4,0,0.1,0,100,0.3,1.7,3.3,0,1.2,1,0.5,2.4,5.2,2.3,0.1,0.2,0,3002,14.6,36.1,18.1,6.9,0.3,4.1,1.9,2.7,0.3,0.2,0.2,0,100,0.6,0.8,2.6,0,1.4,0.7,0.4,1.9,4.3,1.6,0,0.4,0,1606,18.1,27.7,17.1,9.5,0.4,2.3,2.7,1.4,1,0.2,0.2,0,100,0.4,0.4,3.1,0,1,0.3,0.7,1.4,5.7,5.7,0.1,0.2,0,20,24.3,20.3,10.7,1.2,1.4,3.8,2.2,1.2,0.2,1.2,0,100,0.2,0.7,3.3,0.9,3.7,3.4,0.2,0,1,23.6,22.2,21.3,11.2,1.7,4.1,3.4,6.2,0.4,2.1,2.8,0.4,0.3,0.2,0,100
"여행형태",Air-tel Tour,741,22.4,36.8,8,12.1,0.5,1.2,0.5,0.6,1.1,0,1.8,0,100,1.4,1.2,6.5,0.2,1.6,0.2,0.5,0.8,0.9,1.2,0.1,0.3,0,758,29.8,31.8,5.5,9,1.2,1.3,0.2,0.2,0.9,0,0.9,0,100,4.2,1.1,7.7,0,1.1,0.9,0.4,0.4,2.4,0.6,0.1,0.4,0,917,26.5,35.2,7.8,6.4,1,1.3,0.5,1.6,0.9,0,0.8,0,100,2.4,0.9,6.4,0,3.8,1.2,0.8,0.4,1.6,0.2,0.2,0.2,0,773,28.8,36,4.5,5.1,0.9,2.5,0.6,0.5,0.5,0.2,1.7,0,100,4.6,0.9,3.8,0,3.9,0.6,0.8,0.2,2.7,0.3,0.8,0.2,0,53.7,18.2,5.6,4.5,1.6,1.9,1.5,1.3,0.3,0.1,0.1,0,100,2.7,0.8,4.4,0.4,0.8,0.3,0.2,0.2,1.4,50.9,17.4,5.2,4.1,2.4,7.1,4.6,2.4,3.7,1.3,0.4,0.4,0.1,0,0,100
"방한횟수",1회,7832,9.4,37.2,15.6,8.2,3.9,2.6,1.8,1.8,1.4,0.2,0.6,0.1,100,0.6,1.1,2.4,0.3,1.8,0.9,1.6,1.8,4.1,1.3,0.4,0.9,0,6949,12.3,27.8,17.8,9.2,3.1,3.3,2.5,2.8,1.1,0.4,0.8,0,100,0.5,2.2,2.9,0.2,1.5,0.7,1.7,1.8,4,1.7,0.4,1.2,0,7375,17.1,28.6,14.1,9.5,2.3,4.1,2.7,3.3,1.5,0.2,0.6,0,100,0.7,1.3,3.3,0.2,1.4,0.4,1,1.4,3.9,1.2,0.2,1.1,0,6471,18.2,24,13,11.8,3.5,4.2,2.9,2.3,1.6,0.6,0.5,0,100,0.6,1,2.7,0.4,1.4,0.5,1.1,1.5,3.2,2.3,0.6,1,0,25.2,19.5,15.2,12.2,5.6,1.6,3.7,2,1.3,0.2,1,0,100,0.9,1.2,3.5,1,2.2,1.6,0.5,0.5,1,26.8,20,17.5,11.9,4.1,4.5,4,4.4,1.3,2.6,1.5,0.9,0.2,0.3,0,100
"방한횟수",2회,1551,9.3,37.5,9.2,7.2,6.7,3.7,1.5,1.4,2.1,0.6,1.5,0,100,1.1,2,3.1,0.3,2.1,0.7,2.8,1.8,2.4,1.4,0.5,1,0,2097,14.9,30,12.3,6.6,5.7,3.4,2.1,1.9,2,0.4,1,0,100,1,2,3.7,0,1.7,0.9,2.1,1.8,2.9,1.6,0.6,1.7,0,1522,17.1,34.3,10.9,7.1,3.8,2.6,1,2.4,1,0.4,0.8,0,100,0.7,1,2.7,0.1,1.6,1,1.9,2.5,3.4,1.7,1.1,0.9,0,2474,19.9,31.5,10.5,6.2,4.5,3.5,1.9,1.7,2.6,0.5,1.1,0,100,1,0.6,2.9,0.3,1.2,0.5,1.2,2.6,2.6,1.4,0.9,0.8,0,29.8,22.9,12.5,6,8.5,1.8,2.7,1.4,1.8,0.1,0.8,0,100,0.7,0.8,3.6,1.2,2,1.3,0.9,0.5,0.4,32.2,20.2,15.1,7.2,5.4,5.6,3.6,3,2.1,1.6,1.6,1.4,0.3,0.8,0,100
"방한횟수",3회,794,13,30.5,6.1,6.4,9.2,5.4,1.6,1,2.6,0.2,2.1,0,100,1.8,1.8,4.1,0.1,1.9,0.6,2.3,3,1.7,1.8,0.8,1.8,0,1015,16.5,30.6,7.4,6.1,6.8,3.9,1.2,1.8,2.3,0.2,1.8,0,100,1.6,1.4,3.3,0.5,1.3,0.7,2.5,2.6,3.7,1.6,0.8,1.4,0,802,17.9,33.6,9,6.1,7.7,3.1,1.5,1.8,2.2,0.3,1.1,0,100,0.8,1.4,2,0.1,1.4,0.9,2.4,1.8,2.3,0.8,0.8,1,0,1315,23.1,30.4,8.6,5.8,7.7,3.9,1.3,1.1,2.6,0.6,1.2,0,100,0.5,0.7,2.3,0.1,1.4,0.9,1.1,1.5,2.1,0.8,0.9,1.4,0,34.9,24,10.3,3.8,12.1,1.8,1.7,0.9,1.3,0.3,0.8,0,100,0.4,0.5,2.2,0.9,1.6,1.1,0.7,0.3,0.4,34.7,22.8,14.8,5.5,7.6,4.8,3.1,1.5,1.4,0.7,1.5,1.2,0.3,0.2,0,100
"방한횟수",4회 이상,1848,13.3,21.4,4.2,5.5,21.6,2.1,1.2,0.8,2.3,0.7,2.9,0,100,1.9,1.4,6.7,0.2,2.1,1.1,5,1.6,1.8,0.7,0.9,0.6,0,2821,15.6,26.1,4.6,5.2,13.5,3.3,1.2,0.7,2.2,1,2.8,0,100,1.9,1.2,7.5,0.2,1.2,1,5.7,1.7,1.2,0.6,0.9,0.7,0,2304,14,32.7,5,3.9,13.2,2.1,1,0.7,1.4,0.8,2.8,0,100,0.9,0.5,7.2,0.3,1.5,1.5,5.1,2.4,1,0.8,0.5,0.7,0,3581,20.6,31.2,5.1,4.3,11.1,3.4,1.1,0.9,2.1,0.5,2.1,0,100,1.1,0.5,6,0.1,1,1.1,2.7,1.3,1.3,1.1,0.8,0.7,0,32.9,25.2,6.9,3.1,15.8,1.8,1.1,0.9,1.2,0.3,0.8,0,100,0.7,0.5,4.2,0.5,1.4,1,0.7,0.5,0.5,33.8,24.5,8.6,4,12.7,5.8,2.7,1.3,2.2,1,1.1,1,0.7,0.7,0,100
"직업",공무원 군인,636,8.4,27.9,16.1,10.9,5.7,1.9,2.1,1.5,1.9,0,1.7,0,100,0.7,1.3,3.7,0.8,1.3,1,1.6,2,3.8,2.4,0.9,2.3,0,709,10.1,26.1,14.2,10.3,4.7,4.3,2,3.2,1.5,0.7,1.2,0,100,0.4,1.5,3.2,0.4,1.3,0.5,2.6,1.3,4.8,3.7,0.5,1.6,0,505,16,31.5,11.5,8.6,1.9,2.5,3.3,3.3,0.9,0.6,0.6,0,100,0.6,1.1,4,0.3,0.5,0.1,2.1,2.2,6.1,1,0.2,1.3,0,628,12.1,24.7,8.4,13.6,6.4,5.1,2.8,3.8,2.4,0.5,1.4,0,100,0.2,0.7,3.4,0.5,1.3,0.8,1.8,1.5,3.6,2.1,0.8,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",기업인 경영직,1309,6.8,25.8,8.1,7.9,25.9,2.4,2.4,1.9,0.4,1.1,1.2,0,100,0.2,1.2,1.7,0.4,1.9,0.6,3.1,1.9,1.7,1.8,0.4,1.2,0,1327,11,22,9.7,9,19.3,2.4,2.3,2.3,1,1.4,0.6,0.1,100,0.6,1.8,2.7,0.2,1.1,0.8,5.4,1.7,1.8,1.2,0.4,1.2,0,1156,11.1,22.9,9.2,9.3,20,3.3,2,2.2,0.9,0.8,1.1,0,100,0,0.9,1.4,0.3,0.7,0.4,5.3,2.1,2.3,1.5,1.1,1.2,0,1464,13.4,22.3,8.2,10.6,19.5,3.6,2.5,1.4,1,1.6,0.8,0,100,0.6,0.9,1.5,0.3,1.3,0.6,2.8,1.9,2.2,1.8,0.7,0.5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",사무기술직,2546,11,35.8,13,5.9,7.6,2.7,1.1,1.3,1.5,0.4,1,0.1,100,1.3,1.1,4.2,0.1,1.6,0.7,2.6,2,2.9,0.7,0.8,0.6,0,2733,15,28.8,13.3,6.5,7.5,1.9,1.1,1.5,0.8,0.7,0.8,0,100,0.8,2.2,5.7,0.1,1.4,0.4,3.5,2.2,3.1,1.3,0.5,0.8,0,2434,19.8,29.1,11.3,6.5,6.6,2.3,1.5,2.4,0.3,0.3,0.7,0,100,0.7,1.2,5.1,0,1.6,0.7,2.5,1.8,3.2,1.2,0.3,0.8,0,2543,23.5,28.1,9.3,5.9,8.9,3.1,1,1.4,0.6,0.3,1.2,0,100,0.6,0.9,4.6,0.1,1.7,0.5,2,1.8,2.2,1,0.8,0.6,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",판매 서비스직,1484,14.9,39.5,14.3,5.1,3.7,1.5,0.8,0.9,0.3,0.1,1.8,0.1,100,1,1.1,3.7,0.1,2.8,0.7,2.1,1.1,2.7,0.9,0.2,0.5,0,1511,13.8,30.6,16.4,6.4,4.2,2.9,2.4,1.6,0.6,0.3,1.5,0,100,1.8,2,4.9,0,1.1,1.4,2.6,1.9,2.1,0.6,0.5,0.6,0,1423,17.9,35.2,12.2,8,1.8,3,1.1,2.3,0.4,0.7,1.5,0,100,1.6,1.2,5.2,0.1,1.4,0.3,0.5,1.7,2.5,1,0,0.4,0,1611,24.1,31.4,9.6,7,2.4,3.3,1.2,1,0.5,0.5,1.1,0,100,1.1,1.6,4.4,0.1,1,0.9,1.6,1.1,2.7,1.9,0.8,0.9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",전문직,1207,8.1,25.5,12.2,11,7.4,3.6,2.3,2.8,3.4,0.4,1,0.1,100,1.4,1.7,2,0.6,2.4,0.7,6.1,1.5,3.1,1.6,0.3,1.1,0,1102,11.1,20.6,12.8,11,6.9,3.6,2.7,2.9,2.8,0.4,2.2,0,100,0.9,2.2,3.9,0.4,1.6,0.2,5.1,1.9,2.8,1.3,0.7,2.2,0,1118,11,23.5,15.4,11.5,5.6,3.3,3.5,3.3,2.6,0.6,1.5,0,100,0.6,1.6,2.7,0.4,1.1,0.6,3.3,1.9,3,0.8,0.4,1.9,0,1312,17.4,21.2,10.3,12.9,7.2,3.5,3.3,3.1,2.4,0.2,1,0,100,0.7,0.9,3.8,0.6,1.6,0.3,3.5,1,2.2,1.9,0.4,0.8,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",생산/기능/노무,524,10.1,20.6,16.9,10.7,10.2,4.6,1.1,1.1,1.4,0.7,1,0,100,2.2,2,1.6,0.2,2.8,0.8,0.9,6.3,1.6,1.7,0.1,1.3,0,504,13,16.6,16.2,7.7,10.4,4.2,3.2,1.6,1.3,0.3,1.9,0,100,0.5,2.4,3.8,0,2.1,0.8,2.1,4.3,4.1,1.2,0.1,2.4,0,422,22.7,22.2,16.7,9.1,6.3,3.5,1,3.6,0.8,0.7,0.3,0,100,0.1,0.3,1.7,0.1,0.9,0.7,2.6,2.6,1.1,1.4,0.7,0.7,0,563,25.9,18.8,14.9,8.2,8.2,3.5,1.2,1.8,1.7,1.8,0,0,100,0.4,0.1,3.3,0,1.2,0.5,1.2,1.1,2.9,1.8,0.4,1.1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",자영업자,949,8.1,42.5,9.2,7.1,9,2.4,1.8,1,0.4,0.3,1.1,0,100,0.7,1.4,2.1,0.4,1.1,1.3,2.5,2.8,1.8,0.8,1.6,0.6,0,1450,13.6,39.3,10.9,5.3,4.7,3.7,1.2,2.2,0.3,0.3,1.1,0,100,1.2,1.7,2,0.3,1.4,1.6,2.2,1.7,2.1,1,1.4,0.8,0,1198,14.9,34.1,13,7.5,5.2,2.5,1.6,3.1,0.4,0.1,1,0,100,1.3,1.1,1.9,0.3,2.3,2,1.5,1.8,1.9,0.9,0.8,0.9,0,1635,20.8,34.3,12,5.9,4.4,4.3,1.5,1.2,0.7,0.5,1.1,0,100,1,0.5,1.6,0.3,0.8,1.2,0.6,2.1,1.3,1.7,0.7,1.2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",학생,1884,10.2,39,11.3,6.1,0.3,4.9,1.6,1.6,4.4,0,0.5,0,100,0.9,1.2,3.8,0.2,2.1,1.3,0.7,1,6.9,1.3,0.1,0.9,0,1599,14,27.9,11.7,6.9,0.3,6.5,2.7,2.4,5.8,0.2,1.1,0,100,1,1.7,3.8,0.3,1.5,0.7,0.5,1.2,5.4,2.4,0.2,1.7,0,1927,17.6,32.9,9.2,5.7,0.1,6.3,3.2,2.5,5.1,0.1,0.7,0,100,0.5,0.9,4.5,0.1,1.3,0.8,0.5,0.7,4,1.2,0.3,1.6,0,2269,16.1,31.8,8.9,8.5,0.2,5.7,3.6,1.9,6.7,0.2,0.6,0,100,0.7,0.4,4.1,0.4,1.1,0.6,0.4,1.1,3.7,1.8,0.5,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",주부,456,14.5,34.6,9.5,12.9,0.1,1.2,1.4,1.9,0.7,0,1.7,0,100,2.6,1.4,7,0.2,3,0,0.2,1.1,3.8,0.9,0.9,0.2,0,552,18.5,31.8,10.6,9.7,0.5,2,1.5,1.2,0.5,0,2.9,0,100,2,0.9,7.1,0,3.2,0.2,0.3,1.2,3.3,1.2,0.8,0.7,0,557,16.3,33.4,11.1,5.6,0.1,0.7,1.4,3.2,0.3,0,1.8,0,100,0.6,2.3,10.1,0,3.7,0.6,0.6,2.4,4,1,0.3,0.5,0,647,22,30.5,11.5,8.5,0.4,1.7,1.6,0.8,0.5,0.2,2.9,0,100,2.7,0.4,6,0.1,1.8,0,0,3,1.5,1.5,1.9,0.4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",은퇴자,199,8.3,19.9,40,10.8,0.5,0.2,2.7,2.1,1.5,0,2.5,0,100,0,1.4,2.1,0,0,1.3,1.1,2.7,0.7,1.1,0.2,1,0,293,10.6,15.3,34.6,13.2,1,1.5,3.5,0.5,0,0,2.4,0,100,0,2.2,4.5,0,2,1.2,0.8,1.7,1.7,1.6,0.9,0.8,0,141,11.9,19.2,21.1,21.5,0.8,2.5,1.9,2.4,0.6,0,4.1,0,100,0,0.4,2.4,0,0.4,0.9,0.5,4.5,2,0,1.4,1.4,0,151,14.5,14.9,22.6,11.4,1.2,1.6,2.3,4.6,1.7,1.8,4.3,0,100,0,1.2,5.7,0.7,0.6,0,0,6.3,0.9,1.7,1.5,0.3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",무직,181,10.3,32.8,12,5.9,1.6,4.1,3.2,2,1.2,0.2,3.7,0,100,0,0.8,4.7,0,1.8,6.3,0,3.1,2.6,2.1,0.4,1,0,258,16.1,32.5,7.4,7.3,0.5,0.7,3.7,2.1,2.4,0,3.6,0,100,1.7,2.7,3.6,0.7,0.4,2,0.5,2.4,6.5,0.3,1.1,1.6,0,224,13.4,38.8,8.3,6.3,0.5,4.6,3,1.5,0.3,0,1.5,0,100,1.6,0.7,4.6,0.9,1.9,1.6,1.5,3.6,1.5,3.5,0,0.4,0,256,20.5,31.1,11,8.7,2.6,3.9,1.3,2.3,1.1,0.6,2,0,100,1.7,0.3,1.8,0,2,1.4,0,0.8,2,1.4,0.3,3.2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",기타,629,10,47.5,8.5,6.3,3.5,2.6,2,1.1,0.9,0,0.9,0,100,0.3,2.2,3.3,0.3,0.7,0,1.4,0.6,4,1.6,0.9,1.3,0,783,17.8,30.6,12.8,7.3,2.3,4.7,2.1,3.6,1,0.3,1.5,0,100,0.7,1,2.7,0,1.2,0.8,1.1,1.4,3.4,1.5,0.5,1.7,0,889,18.3,36.5,10.6,8.7,1.1,4.5,1.4,1.9,0.5,0.4,0.9,0,100,1,1.1,2,0.7,1.2,0.5,1.3,0.9,5,1,0.1,0.5,0,721,22,32.1,10.7,6,2.1,3.9,2.7,1.2,1.8,0.4,0.9,0,100,0.2,0.8,2.8,0.3,0.9,1,1.7,2,2.4,2.2,0.9,0.9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",무응답,19,15.2,46.6,14.2,4.1,8.5,0,0,0,0,0,0,0,100,0,0,0,0,0,0,11.4,0,0,0,0,0,0,62,29,21.1,11.9,5.8,2.3,0.4,1.1,1.3,2.5,0,1.1,0,100,1.1,0.6,3,1.1,2.7,0,7.3,3.3,3.2,0.9,0,0.5,0,10,0,3.2,2.3,45.2,1.5,7.1,0,2.8,18.5,0,7.7,0,100,0,11.5,0,0,0,0,0,0,0,0,0,0,0,42,11.7,22.8,9.8,3.2,5.7,10.5,3.1,2.5,0,0,0,0,100,0,0,0,5.1,3.1,0,0,3.8,10.7,3.8,1.2,3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
