"키","명칭","행정시","행정구","행정동"
"BE_IW16-0080","Gohyang Ox Bone Soup","Seoul","Seongbuk-gu","Dongseon-dong"
"BE_IW16-0081","Gohyang Restaurant","Seoul","Mapo-gu","Gongdeok-dong"
"BE_IW16-0082","Gohyang Restaurant","Seoul","Eunpyeong-gu","Yeokchon-dong"
"BE_IW16-0083","Gohyang Restaurant","Seoul","Guro-gu","Gaebong1-dong"
"BE_IW16-0084","Gohyang Restaurant","Seoul","Gangnam-gu","Nonhyeon2-dong"
"BE_IW16-0085","Gohyang Rice with Lettuce Wraps","Seoul","Guro-gu","Gaebong1-dong"
"BE_IW16-0086","Gohyangjip","Seoul","Gwangjin-gu","Guui1-dong"
"BE_IW16-0087","Gohyangjip","Seoul","Gangnam-gu","Nonhyeon2-dong"
"BE_IW16-0088","Gohyangjip","Seoul","Seongbuk-gu","Bomun-dong"
"BE_IW16-0089","Gohyangjip","Seoul","Gwanak-gu","Jungang-dong"
"BE_IW16-0090","Gohyangjip","Seoul","Seocho-gu","Seocho1-dong"
"BE_IW16-0091","Goheung restaurant","Seoul","Gangseo-gu","Hwagok1-dong"
"BE_IW16-0092","Golbangjip","Seoul","Gangbuk-gu","Beon1-dong"
"BE_IW16-0093","Gomguksijip","Seoul","Jung-gu","Myeong-dong"
"BE_IW16-0094","Gomguksijip","Seoul","Jung-gu","Myeong-dong"
"BE_IW16-0095","Gommaru","Seoul","Jongno-gu","Gyonam-dong"
"BE_IW16-0096","Gombawi","Seoul","Gangnam-gu","Samseong1-dong"
"BE_IW16-0097","Gomsotjib","Seoul","Jung-gu","Myeong-dong"
"BE_IW16-0098","Gomtangjib","Seoul","Seongbuk-gu","Dongseon-dong"
"BE_IW16-0099","Park Garden (Restaurant)","Seoul","Guro-gu","Guro5-dong"
"BE_IW16-0100","Gongwon Sanjang","Seoul","Gangbuk-gu","Ui-dong"
"BE_IW16-0101","Gongjujip","Seoul","Nowon-gu","Sanggye1-dong"
"BE_IW16-0102","Gwangyangbulgogi","Seoul","Yangcheon-gu","Sinwol4-dong"
"BE_IW16-0103","Gwangyangbulgogi","Seoul","Songpa-gu","Seokchon-dong"
"BE_IW16-0104","Gwangyangbulgogi","Seoul","Seocho-gu","Banpo4-dong"
"BE_IW16-0105","Gwangyangbulgogibonga","Seoul","Gangnam-gu","Daechi2-dong"
"BE_IW16-0106","Gwanghwamun Jip","Seoul","Jongno-gu","Sajik-dong"
"BE_IW16-0107","Guunmong","Seoul","Gangnam-gu","Yeoksam1-dong"
"BE_IW16-0108","Guksujip","Seoul","Geumcheon-gu","Doksan1-dong"
"BE_IW16-0109","Guksijip","Seoul","Seongbuk-gu","Seongbuk-dong"
"BE_IW16-0110","Gukhwa Jeongwon","Seoul","Seongbuk-gu","Seongbuk-dong"
"BE_IW16-0111","Gulsanyang","Seoul","Yeongdeungpo-gu","Yeongdeungpobon-dong"
"BE_IW16-0112","Good Morning Apt.","Seoul","Songpa-gu","Seokchon-dong"
"BE_IW16-0113","Gung","Seoul","Dongdaemun-gu","Imun1-dong"
"BE_IW16-0114","Gungyeon","Seoul","Gangnam-gu","Cheongdam-dong"
"BE_IW16-0115","Gungjung Ori (duck)","Seoul","Songpa-gu","Geoyeo1-dong"
"BE_IW16-0116","Green Apt.","Seoul","Seodaemun-gu","Hongje1-dong"
"BE_IW16-0117","Green House","Seoul","Jongno-gu","Pyeongchang-dong"
"BE_IW16-0118","Geumgangsan","Seoul","Dongdaemun-gu","Imun1-dong"
"BE_IW16-0119","Geumgangsan","Seoul","Gangnam-gu","Nonhyeon2-dong"
"BE_IW16-0120","Geumgangsan","Seoul","Mapo-gu","Ahyeon-dong"
"BE_IW16-0121","Geumgangsan Pork Rib Soup with Potatoes","Seoul","Gangdong-gu","Amsa1-dong"
"BE_IW16-0122","Geumgangsan Pork Rib Soup with Potatoes","Seoul","Yongsan-gu","Cheongpa-dong"
"BE_IW16-0123","Geumgangho Fresh Water Eel Restaurant","Seoul","Yangcheon-gu","Sinwol1-dong"
"BE_IW16-0124","Geummorae","Seoul","Gangnam-gu","Yeoksam1-dong"
"BE_IW16-0125","Geumsu Bokguk","Seoul","Gangnam-gu","Apgujeong-dong"
"BE_IW16-0126","Geumcheon Restaurant","Seoul","Yeongdeungpo-gu","Yangpyeong1-dong"
"BE_IW16-0127","Kiku","Seoul","Yongsan-gu","Namyeong-dong"
"BE_IW16-0128","Giwajip","Seoul","Gangbuk-gu","Ui-dong"
"BE_IW16-0129","Giwajip","Seoul","Jungnang-gu","Myeonmok3.8-dong"
"BE_IW16-0130","Gimbap Sarang","Seoul","Gwanak-gu","Sillim-dong"
"BE_IW16-0131","Kimsambo","Seoul","Jung-gu","Gwanghui-dong"
"BE_IW16-0132","Kkumkku-neundweji","Seoul","Gangseo-gu","Hwagok3-dong"
"BE_IW16-0133","Leisure Pension","Seoul","Gangdong-gu","Cheonho1-dong"
"BE_IW16-0134","Ferry","Seoul","Mapo-gu","Dohwa-dong"
"BE_IW16-0135","Naju Restaurant","Seoul","Jungnang-gu","Muk2-dong"
"BE_IW16-0136","Nagwon ","Seoul","Dongdaemun-gu","Jangan1-dong"
"BE_IW16-0137","Nagwon ","Seoul","Seocho-gu","Seocho2-dong"
"BE_IW16-0138","Nakji Madang Baby Octopus Restaurant","Seoul","Geumcheon-gu","Doksan2-dong"
"BE_IW16-0139","Nakji Madang Baby Octopus Restaurant","Seoul","Seongbuk-gu","Jangwi2-dong"
"BE_IW16-0140","Nakji Ma-eul Baby Octopus Restaurant","Seoul","Gangnam-gu","Irwon1-dong"
"BE_IW16-0141","Nakji Ma-eul Baby Octopus Restaurant","Seoul","Gangdong-gu","Seongnae2-dong"
"BE_IW16-0142","Namdo","Seoul","Gwanak-gu","Jowon-dong"
"BE_IW16-0687","Umigak","Seoul","Gangnam-gu","Dogok1-dong"
"BE_IW16-0688","Umigwan","Seoul","Dobong-gu","Chang1-dong"
"BE_IW16-1021","Hamgyeong Cold Buckwheat Noodles","Seoul","Yongsan-gu","Hangangno-dong"
"BE_IW16-1022","Hamji","Seoul","Gwanak-gu","Seonghyeon-dong"
"BE_IW16-1023","Hamheung-style Cold Buckwheat Noodles","Seoul","Eunpyeong-gu","Yeokchon-dong"
"BE_IW16-1024","Hamheumg Cold Buckwheat Noodles","Seoul","Jungnang-gu","Myeonmok5-dong"
"BE_IW16-1025","Hang-ari","Seoul","Seongbuk-gu","Jeongneung3-dong"
"BE_IW16-1026","Hang-arijip","Seoul","Eunpyeong-gu","Eungam3-dong"
"BE_IW16-1027","Hangari Hand-rolled Noodle Soup","Seoul","Gangbuk-gu","Ui-dong"
"BE_IW16-1028","Haegungmakhoe Restaurant","Seoul","Mapo-gu","Seongsan2-dong"
"BE_IW16-1029","Haetteuneun Jip","Seoul","Jungnang-gu","Sangbong2-dong"
"BE_IW16-1030","Haetteuneun Jip","Seoul","Eunpyeong-gu","Susaek-dong"
"BE_IW16-1031","Haemaru","Seoul","Dongdaemun-gu","Jegi-dong"
"BE_IW16-1032","Haemaru","Seoul","Gangbuk-gu","Ui-dong"
"BE_IW16-1033","Heamul nara","Seoul","Mapo-gu","Yonggang-dong"
"BE_IW16-1034","Heamul maeul","Seoul","Yeongdeungpo-gu","Singil1-dong"
"BE_IW16-1035","Heamul chon","Seoul","Guro-gu","Oryu2-dong"
"BE_IW16-1036","Noodle Soup with Seafood","Seoul","Gangseo-gu","Hwagok1-dong"
"BE_IW16-1037","Haemil","Seoul","Eunpyeong-gu","Eungam1-dong"
"BE_IW16-1038","Haeseong Garden","Seoul","Seocho-gu","Naegok-dong"
"BE_IW16-1039","Haeoreum Apt.","Seoul","Dongjak-gu","Sadang4-dong"
"BE_IW16-1040","Haeoreum Apt.","Seoul","Seodaemun-gu","Namgajwa2-dong"
"BE_IW16-1041","Haewon","Seoul","Nowon-gu","Gongneung1-dong"
"BE_IW16-1042","Haewoltojangjip","Seoul","Gangseo-gu","Deungchon3-dong"
"BE_IW16-1043","Haechorok Sarang","Seoul","Gangnam-gu","Samseong2-dong"
"BE_IW16-1044","Happy Time","Seoul","Gangseo-gu","Hwagok2-dong"
"BE_IW16-1045","Haengbokhan Bapsang","Seoul","Jongno-gu","Hyehwa-dong"
"BE_IW16-1046","Hyangnamujip","Seoul","Mapo-gu","Dohwa-dong"
"BE_IW16-1047","Hyangnamujip","Seoul","Seocho-gu","Seocho3-dong"
"BE_IW16-1048","Hyangchon","Seoul","Seodaemun-gu","Chunghyeon-dong"
"BE_IW16-1049","Hyangchon","Seoul","Gangdong-gu","Godeok1-dong"
"BE_IW16-1050","Hyangchon","Seoul","Seocho-gu","Seocho3-dong"
"BE_IW16-1051","Hyundai Garden Restaurant","Seoul","Jongno-gu","Gahoe-dong"
"BE_IW16-1052","Hyundai Garden Restaurant","Seoul","Guro-gu","Guro1-dong"
"BE_IW16-1053","Hyundai Fresh Fish Market","Seoul","Jung-gu","Jungnim-dong"
"BE_IW16-1054","Hyeongje Apt.","Seoul","Seongdong-gu","Seongsu1ga2-dong"
"BE_IW16-1055","Hyeongje Galbi","Seoul","Gangdong-gu","Cheonho2-dong"
"BE_IW16-1056","Hyeongje Restaurant","Seoul","Dongdaemun-gu","Dapsimni2-dong"
"BE_IW16-1057","Hyeongje Restaurant","Seoul","Gangbuk-gu","Songcheon-dong"
"BE_IW16-1058","Hyeongje Restaurant","Seoul","Jung-gu","Sindang-dong"
"BE_IW16-1059","Hyungche Chueotang","Seoul","Jongno-gu","Pyeongchang-dong"
"BE_IW16-1060","Hyegyo","Seoul","Gangnam-gu","Samseong1-dong"
"BE_IW16-1061","Hyesimjeong","Seoul","Gangbuk-gu","Ui-dong"
"BE_IW16-1062","Hyewon","Seoul","Jongno-gu","Sajik-dong"
"BE_IW16-1063","Honam Restaurant","Seoul","Gangnam-gu","Daechi4-dong"
"BE_IW16-1064","Honam Restaurant","Seoul","Seodaemun-gu","Yeonhui-dong"
"BE_IW16-1065","Honam Restaurant","Seoul","Seongbuk-gu","Wolgok2-dong"
"BE_IW16-1066","Honam Restaurant","Seoul","Songpa-gu","Garak1-dong"
"BE_IW16-1067","Honam Restaurant","Seoul","Gangnam-gu","Nonhyeon2-dong"
"BE_IW16-1068","Honam Restaurant","Seoul","Yeongdeungpo-gu","Yeongdeungpo-dong"
"BE_IW16-1069","Homigot Village","Seoul","Yeongdeungpo-gu","Yeoui-dong"
"BE_IW16-1070","Hoban","Seoul","Jongno-gu","Gahoe-dong"
"BE_IW16-1071","Hongneung Galbijip","Seoul","Dongdaemun-gu","Cheongnyangni-dong"
"BE_IW16-1072","Hwagojip","Seoul","Yangcheon-gu","Mok4-dong"
"BE_IW16-1073","Hwarang (Sweet Rice Liquor)","Seoul","Gangbuk-gu","Songjung-dong"
"BE_IW16-1074","Hwarogui","Seoul","Seongdong-gu","Haengdang1-dong"
"BE_IW16-1075","Hwarogui","Seoul","Geumcheon-gu","Doksan1-dong"
"BE_IW16-1076","Hwarobaekseo","Seoul","Jung-gu","Euljiro-dong"
"BE_IW16-1077","Hwarobaekseo","Seoul","Jung-gu","Gwanghui-dong"
"BE_IW16-1078","Hwaseokjeong Paviion","Seoul","Yangcheon-gu","Sinwol4-dong"
"BE_IW16-1079","Hwaseong","Seoul","Mapo-gu","Gongdeok-dong"
"BE_IW16-1080","Hwaseong Sanjang","Seoul","Gangbuk-gu","Insu-dong"
"BE_IW16-1081","Hwawon","Seoul","Yongsan-gu","Hyochang-dong"
"BE_IW16-1082","Supermarket","Seoul","Eunpyeong-gu","Yeokchon-dong"
"BE_IW16-1083","Hwanggeum Duck Farm","Seoul","Yangcheon-gu","Sinjeong4-dong"
"BE_IW16-1084","Hwanggeum Duck Farm","Seoul","Yeongdeungpo-gu","Daerim3-dong"
"BE_IW16-1085","Chinese Restaurant","Seoul","Gangnam-gu","Yeoksam1-dong"
"BE_IW16-1086","Chinese Restaurant","Seoul","Jongno-gu","Gahoe-dong"
"BE_IW16-1087","HwangBuja","Seoul","Jung-gu","Myeong-dong"
"BE_IW16-1088","Hwangso Gopchang (Beef Tripe)","Seoul","Jungnang-gu","Sinnae1-dong"
"BE_IW16-1089","Hwangso Gopchang (Beef Tripe)","Seoul","Seongdong-gu","Sageun-dong"
"BE_IW16-1090","Hwangso Gopchang (Beef Tripe)","Seoul","Gangbuk-gu","Mia-dong"
"BE_IW16-1091","Hwangso Restaurant","Seoul","Seocho-gu","Yangjae1-dong"
"BE_IW16-1092","Hwangsojip","Seoul","Jongno-gu","Sungin2-dong"
"BE_IW16-1093","Hwangto Ma-eul","Seoul","Dongjak-gu","Heukseok-dong"
"BE_IW16-1094","Hwangtogil","Seoul","Mapo-gu","Ahyeon-dong"
"BE_IW16-1095","Hwanghakjung","Seoul","Jongno-gu","Sajik-dong"
"BE_IW16-1096","Hoeryeong","Seoul","Nowon-gu","Hagye1-dong"
"BE_IW16-1097","Hupohang Harbor","Seoul","Gangnam-gu","Dogok2-dong"
"BE_IW16-1098","Heukdonga","Seoul","Gangnam-gu","Samseong1-dong"
"BE_IW16-1099","Heukdonga","Seoul","Nowon-gu","Gongneung1-dong"
"BE_IW16-1100","Heukseokgol","Seoul","Dongjak-gu","Heukseok-dong"
"BE_IW16-1101","Heungbune","Seoul","Yongsan-gu","Bogwang-dong"
"BE_IW16-1102","Huirak","Seoul","Gangnam-gu","Samseong2-dong"
"BE_IW16-1103","Huirae","Seoul","Seocho-gu","Yangjae2-dong"
"BE_IW16-1104","Hill House","Seoul","Gwanak-gu","Seonghyeon-dong"
"BE_IW16-0001","Daenamujip Restaurant","Seoul","Guro-gu","Sugung-dong"
"BE_IW16-0002","Bibong","Seoul","Mapo-gu","Sangam-dong"
"BE_IW16-0003","Sonamu","Seoul","Gangnam-gu","Cheongdam-dong"
"BE_IW16-0004","Solmoe Maeul","Seoul","Jongno-gu","Ihwa-dong"
"BE_IW16-0005","Songhak","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_IW16-0006","Suyang","Seoul","Seocho-gu","Naegok-dong"
"BE_IW16-0007","Anjip","Seoul","Gwanak-gu","Nakseongdae-dong"
"BE_IW16-0008","Jihwaja","Seoul","Jung-gu","Jangchung-dong"
"BE_IW16-0009","Jinsuseongchan","Seoul","Eunpyeong-gu","Gusan-dong"
"BE_IW16-0010","Pulhyanggi","Seoul","Seodaemun-gu","Yeonhui-dong"
"BE_IW16-0011","Ganaan","Seoul","Jung-gu","Dasan-dong"
"BE_IW16-0012","Garam","Seoul","Seocho-gu","Seocho3-dong"
"BE_IW16-0013","Gamagol Village","Seoul","Gangnam-gu","Yeoksam1-dong"
"BE_IW16-0014","Gamasot Handmade Tofu","Seoul","Gangseo-gu","Deungchon1-dong"
"BE_IW16-0015","Gamasot Handmade Tofu","Seoul","Seocho-gu","Seocho2-dong"
"BE_IW16-0016","Gamasot Handmade Tofu","Seoul","Songpa-gu","Garakbon-dong"
"BE_IW16-0017","Gasiri","Seoul","Seocho-gu","Jamwon-dong"
"BE_IW16-0018","Gasiri","Seoul","Gangnam-gu","Yeoksam1-dong"
"BE_IW16-0019","Gasiri","Seoul","Gangnam-gu","Nonhyeon2-dong"
"BE_IW16-0020","Gasiri","Seoul","Gangnam-gu","Yeoksam1-dong"
"BE_IW16-0021","Gawon","Seoul","Jongno-gu","Sajik-dong"
"BE_IW16-0022","Gawon","Seoul","Seocho-gu","Seocho3-dong"
"BE_IW16-0023","Gawon Charcoal Grilled Beef Ribs","Seoul","Dobong-gu","Ssangmun3-dong"
"BE_IW16-0024","Gajok Hoegwan","Seoul","Gangnam-gu","Yeoksam1-dong"
"BE_IW16-0025","Galmae","Seoul","Songpa-gu","Garakbon-dong"
"BE_IW16-0026","Leisure Pension","Seoul","Seongdong-gu","Wangsimnidoseon-dong"
"BE_IW16-0027","Gamnamujip","Seoul","Gangseo-gu","Banghwa3-dong"
"BE_IW16-0028","Gamnamujip","Seoul","Songpa-gu","Seokchon-dong"
"BE_IW16-0029","Gamnamujip","Seoul","Gangbuk-gu","Suyu2-dong"
"BE_IW16-0030","Gam-miok","Seoul","Seongbuk-gu","Wolgok1-dong"
"BE_IW16-0031","Gamjagol","Seoul","Gangnam-gu","Nonhyeon1-dong"
"BE_IW16-0032","Gamja Bau","Seoul","Gangnam-gu","Apgujeong-dong"
"BE_IW16-0800","Jeonju Hangover Soup","Seoul","Songpa-gu","Geoyeo1-dong"
"BE_IW16-0801","Jeonggane Restaurant","Seoul","Seongdong-gu","Wangsimni2-dong"
"BE_IW16-0802","Jeonggane Restaurant","Seoul","Gangbuk-gu","Ui-dong"
"BE_IW16-0803","Jeongdongjin","Seoul","Dongjak-gu","Noryangjin1-dong"
"BE_IW16-0804","Jeongseon","Seoul","Songpa-gu","Garak2-dong"
"BE_IW16-0805","Jeongwon Apt.","Seoul","Seodaemun-gu","Hongeun1-dong"
"BE_IW16-0806","Jeongwon Apt.","Seoul","Gangnam-gu","Cheongdam-dong"
"BE_IW16-0807","Butcher Shop & Restaurant","Seoul","Gangbuk-gu","Suyu3-dong"
"BE_IW16-0808","Jeongeup","Seoul","Seongbuk-gu","Jangwi1-dong"
"BE_IW16-0809","Jung-ilpum","Seoul","Seocho-gu","Seocho3-dong"
"BE_IW16-0810","Jebiwon","Seoul","Songpa-gu","Jamsilbon-dong"
"BE_IW16-0811","Jeil Apt.","Seoul","Seongdong-gu","Seongsu2ga3-dong"
"BE_IW16-0812","Jeil Garden (Restaurant)","Seoul","Jung-gu","Myeong-dong"
"BE_IW16-0813","Jeju Ttukbaegi","Seoul","Songpa-gu","Bangi1-dong"
"BE_IW16-0814","Jeju Eungalchi Fresh Fish Restaurant","Seoul","Gwanak-gu","Cheongnyong-dong"
"BE_IW16-0815","Jejuhang Restaurant","Seoul","Jungnang-gu","Mangubon-dong"
"BE_IW16-0816","Joseon Myeonok(Cold Buckwheat Noodles)","Seoul","Gangnam-gu","Suseo-dong"
"BE_IW16-0817","Joseon Myeonok(Cold Buckwheat Noodles)","Seoul","Seocho-gu","Yangjae2-dong"
"BE_IW16-0818","Joseon Myeonok(Cold Buckwheat Noodles)","Seoul","Seocho-gu","Banpo4-dong"
"BE_IW16-0819","Joseonok","Seoul","Gangbuk-gu","Mia-dong"
"BE_IW16-0820","Joseonok","Seoul","Nowon-gu","Sanggye2-dong"
"BE_IW16-0821","Jonggajip","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_IW16-0822","Jokumeon","Seoul","Eunpyeong-gu","Eungam1-dong"
"BE_IW16-0823","Jonggumeon BonchunStation Shop","Seoul","Gwanak-gu","Cheongnyong-dong"
"BE_IW16-0824","Jumunjin","Seoul","Yangcheon-gu","Mok1-dong"
"BE_IW16-0825","Jirisanachim","Seoul","Seocho-gu","Bangbae1-dong"
"BE_IW16-0826","Jiho Chicken Ginseng Soup with Herbs","Seoul","Dobong-gu","Chang1-dong"
"BE_IW16-0827","JiHo Hanbang Samgyetang YeonhiShop","Seoul","Seodaemun-gu","Yeonhui-dong"
"BE_IW16-0828","Jingabang Charcoal Grilled Beef Ribs","Seoul","Eunpyeong-gu","Sinsa1-dong"
"BE_IW16-0829","Jindojip","Seoul","Seocho-gu","Seocho4-dong"
"BE_IW16-0830","Jindojip","Seoul","Jung-gu","Hoehyeon-dong"
"BE_IW16-0831","Jinmigwan","Seoul","Gangdong-gu","Dunchon2-dong"
"BE_IW16-0832","Jinmi Sikdang","Seoul","Seongdong-gu","Haengdang2-dong"
"BE_IW16-0833","Jinmi Sikdang","Seoul","Dongjak-gu","Heukseok-dong"
"BE_IW16-0834","Jinmi Sikdang","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong"
"BE_IW16-0835","Jinmi Sikdang","Seoul","Jongno-gu","Changsin1-dong"
"BE_IW16-0836","Jinmijeong","Seoul","Yongsan-gu","Namyeong-dong"
"BE_IW16-0837","Jinmijeong","Seoul","Gwanak-gu","Jowon-dong"
"BE_IW16-0838","Jinmijip","Seoul","Gangnam-gu","Samseong2-dong"
"BE_IW16-0839","Jinmijip","Seoul","Yeongdeungpo-gu","Dangsan2-dong"
"BE_IW16-0840","Jinsadaek","Seoul","Mapo-gu","Yonggang-dong"
"BE_IW16-0841","Jinsang SeochoShop","Seoul","Seocho-gu","Seocho2-dong"
"BE_IW16-0842","Jinjujip","Seoul","Jongno-gu","Jongno5.6ga-dong"
"BE_IW16-0843","Chamnamujip","Seoul","Gwanak-gu","Namhyeon-dong"
"BE_IW16-0844","Chamnamujip","Seoul","Mapo-gu","Ahyeon-dong"
"BE_IW16-0845","Chamnureongso","Seoul","Nowon-gu","Hagye1-dong"
"BE_IW16-0846","Chammatgol","Seoul","Seongbuk-gu","Bomun-dong"
"BE_IW16-0847","Chambae Namu Yeouido Shop","Seoul","Yeongdeungpo-gu","Yeoui-dong"
"BE_IW16-0848","Chamsae Rice Mill","Seoul","Dobong-gu","Dobong1-dong"
"BE_IW16-0849","Chamsae Rice Mill","Seoul","Dongdaemun-gu","Imun1-dong"
"BE_IW16-0850","Chamsutgol","Seoul","Seodaemun-gu","Hongeun2-dong"
"BE_IW16-0851","Chamsutgol","Seoul","Jung-gu","Myeong-dong"
"BE_IW16-0852","Chamimat Gamjatang","Seoul","Nowon-gu","Sanggye2-dong"
"BE_IW16-0853","Chamimat ppyeodagui","Seoul","Mapo-gu","Seogyo-dong"
"BE_IW16-0854","Chaegundaam","Seoul","Gangnam-gu","Daechi2-dong"
"BE_IW16-0855","Chaeseokgang Cliff","Seoul","Seocho-gu","Seocho1-dong"
"BE_IW16-0856","Chaeseondang","Seoul","Mapo-gu","Seogyo-dong"
"BE_IW16-0857","Chaeseondang","Seoul","Gangseo-gu","Deungchon1-dong"
"BE_IW16-0858","Chaeseondang MyeongilShop","Seoul","Gangdong-gu","Myeongil2-dong"
"BE_IW16-0859","ChunhaTaePyeong","Seoul","Gangseo-gu","Hwagok3-dong"
"BE_IW16-0860","Chumbung","Seoul","Gangnam-gu","Daechi1-dong"
"BE_IW16-0861","Chunggyesan Matgoeul","Seoul","Seocho-gu","Yangjae2-dong"
"BE_IW16-0862","Chunggye sutbul saenggogi","Seoul","Songpa-gu","Garakbon-dong"
"BE_IW16-0863","Cheonggiwa Apt.","Seoul","Gangseo-gu","Gonghang-dong"
"BE_IW16-0864","Cheonggiwajip","Seoul","Seocho-gu","Bangbae4-dong"
"BE_IW16-0865","Cheonggiwajip","Seoul","Nowon-gu","Gongneung1-dong"
"BE_IW16-0866","Cheongdamgol","Seoul","Gangnam-gu","Cheongdam-dong"
"BE_IW16-0867","Cheongdam Bokjip","Seoul","Gangnam-gu","Cheongdam-dong"
"BE_IW16-0868","Cheongmaru","Seoul","Gangdong-gu","Gil-dong"
"BE_IW16-0869","Cheongmok","Seoul","Songpa-gu","Samjeon-dong"
"BE_IW16-0870","Cheongsan Garden","Seoul","Gangbuk-gu","Ui-dong"
"BE_IW16-0871","Cheongsol Restaurant","Seoul","Songpa-gu","Pungnap2-dong"
"BE_IW16-0872","Cheongsol Restaurant","Seoul","Eunpyeong-gu","Jeungsan-dong"
"BE_IW16-0873","Cheongsongmyeonok","Seoul","Gwanak-gu","Boramae-dong"
"BE_IW16-0874","Cheongsu","Seoul","Jung-gu","Gwanghui-dong"
"BE_IW16-0875","Cheongsu Cold Buckwheat Noodles","Seoul","Gwanak-gu","Daehak-dong"
"BE_IW16-0876","Cheongsu Boribap(Set menu with barley rice","Seoul","Gangbuk-gu","Suyu3-dong"
"BE_IW16-0877","Chungsoo Puffer Fish Soup","Seoul","Gangnam-gu","Sinsa-dong"
"BE_IW16-0878","Cheongsujeong","Seoul","Jongno-gu","Samcheong-dong"
"BE_IW16-0879","Cheonjung Raw Fish","Seoul","Gangnam-gu","Nonhyeon1-dong"
"BE_IW16-0880","Cheongjindong Soup for Hangovers","Seoul","Seongdong-gu","Majang-dong"
"BE_IW16-0881","Cheongjindong Soup for Hangovers","Seoul","Geumcheon-gu","Siheung1-dong"
"BE_IW16-0882","Cheongjindong Soup for Hangovers","Seoul","Seongbuk-gu","Samseon-dong"
"BE_IW16-0883","Cheongjindong Soup for Hangovers","Seoul","Gangseo-gu","Deungchon2-dong"
"BE_IW16-0884","Cheongjindong Soup for Hangovers","Seoul","Gangdong-gu","Cheonho3-dong"
"BE_IW16-0885","Cheongjindong Soup for Hangovers","Seoul","Jungnang-gu","Myeonmok3.8-dong"
"BE_IW16-0886","Cheongjindong Soup for Hangovers","Seoul","Dongdaemun-gu","Yongsin-dong"
"BE_IW16-0887","Cheonghae Crab Town","Seoul","Yangcheon-gu","Sinjeong2-dong"
"BE_IW16-0888","Cheonghaejin","Seoul","Seongbuk-gu","Wolgok2-dong"
"BE_IW16-0889","Cheonghaejin","Seoul","Gangdong-gu","Seongnae1-dong"
"BE_IW16-0890","Chogajip","Seoul","Gangnam-gu","Nonhyeon2-dong"
"BE_IW16-0891","Chogajip","Seoul","Gangbuk-gu","Ui-dong"
